plan_b_balance_final,plan_b_shortfall,plan_b_educacion_ok,satelite_balance_25,villarrica_ok,villarrica_shortfall,satelite_balance_final,herencia_ok,herencia_shortfall,todos_ok_plan_b
87992.78473964042,0.0,True,3390987.2816503947,True,0.0,39980850.99587301,True,0.0,True
70233.70838174895,0.0,True,1203791.743343898,True,0.0,38780293.675224364,True,0.0,True
66107.35220560676,0.0,True,1745514.9708242205,True,0.0,22000793.71999925,True,0.0,True
0.0,21823.458082375353,False,4495042.8322569635,True,0.0,111498357.37294474,True,0.0,False
195596.46633038964,0.0,True,937868.496149018,True,0.0,2539169.4606064013,True,0.0,True
122970.29571028362,0.0,True,2470462.8495946666,True,0.0,32653279.56875372,True,0.0,True
110001.35356684233,0.0,True,3276570.424985656,True,0.0,60185425.0839208,True,0.0,True
89175.17134497101,0.0,True,1896636.7122421258,True,0.0,26052461.66310366,True,0.0,True
37888.161864249465,0.0,True,2081927.910920908,True,0.0,26023765.2225416,True,0.0,True
95310.25461237076,0.0,True,1815060.6609137687,True,0.0,15204641.174556663,True,0.0,True
0.0,37365.650957144106,False,2515832.135310657,True,0.0,84696690.88098975,True,0.0,False
139042.37080907854,0.0,True,1519130.1819228844,True,0.0,12545114.783230025,True,0.0,True
46213.167352744655,0.0,True,1208162.4076912277,True,0.0,20792695.758687243,True,0.0,True
0.0,11571.278493146485,False,4295213.180844375,True,0.0,56960409.29750835,True,0.0,False
170106.33041650674,0.0,True,2333988.6982383872,True,0.0,12013294.840656962,True,0.0,True
0.0,19224.54548544502,False,2502393.0504580704,True,0.0,38500882.10518941,True,0.0,False
99114.52711719234,0.0,True,1008355.0953502147,True,0.0,11152344.185150199,True,0.0,True
105594.39037075762,0.0,True,2628278.61661649,True,0.0,14040771.860244367,True,0.0,True
74152.38952597942,0.0,True,1995733.0787592966,True,0.0,22824546.21198964,True,0.0,True
0.0,23178.177976523057,False,7186488.430179353,True,0.0,228602022.648341,True,0.0,False
0.0,28400.308752431825,False,623283.3420880422,True,0.0,2732397.283565109,True,0.0,False
69716.09566474083,0.0,True,2441527.535907105,True,0.0,30599129.88814365,True,0.0,True
0.0,55518.75511636946,False,1596143.4906205565,True,0.0,10145845.371618995,True,0.0,False
37759.58072928494,0.0,True,1646537.6562073042,True,0.0,40562239.35022163,True,0.0,True
253683.8903212313,0.0,True,2846355.1956849843,True,0.0,39304037.83590357,True,0.0,True
